Reason,Source,Validation,Pages
Excluded by ‘noindex’ tag,Website,Not Started,4
Page with redirect,Website,Not Started,3
Alternative page with proper canonical tag,Website,Not Started,2
Server error (5xx),Website,Not Started,1
Duplicate without user-selected canonical,Website,Not Started,1
Blocked by robots.txt,Website,Not Started,1
Discovered – currently not indexed,Google systems,Not Started,255
Crawled - currently not indexed,Google systems,Not Started,37
Not found (404),Website,Started,2
"Duplicate, Google chose different canonical than user",Google systems,N/A,0
